Code INSEE;Code Postal;Commune;Département;Région;Statut;Altitude Moyenne;Superficie;Population;geo_point_2d;geo_shape;ID Geofla;Code Commune;Code Canton;Code Arrondissement;Code Département;Code Région
84122;84260;SARRIANS;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;58.0;3767.0;5.8;44.0993149114,4.95726948743;"{""type"": ""Polygon"", ""coordinates"": [[[4.942396535124164, 44.05397873395136], [4.9385471093245, 44.07071140824277], [4.933114888869733, 44.07584911157281], [4.915741997181355, 44.103991720998785], [4.934266390388132, 44.122960051313704], [4.950885784459937, 44.12940893452983], [4.95214452602054, 44.14968908476185], [4.9668597848534475, 44.14202528973483], [4.984904084168581, 44.12526883946812], [4.992005335364816, 44.10069593830176], [4.993565449595645, 44.09530161077374], [4.987030633027436, 44.090261493450306], [4.984193357366197, 44.076601096574706], [4.9773876142551465, 44.07194354861644], [4.978923547897933, 44.06511847417081], [4.942396535124164, 44.05397873395136]]]}";20946;122;09;3;84;93
84051;84220;GOULT;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;198.0;2389.0;1.2;43.8672520591,5.24782759369;"{""type"": ""Polygon"", ""coordinates"": [[[5.244909580983658, 43.839614189200724], [5.2240405137784425, 43.85435598042636], [5.214590631539197, 43.85609668574767], [5.215478649688549, 43.86616169166104], [5.19882505949809, 43.87122497865864], [5.2099673268084015, 43.876482574712256], [5.217079904832968, 43.872791211074585], [5.220119719615704, 43.87511515019237], [5.220205482215456, 43.88468341273579], [5.234425660951369, 43.8854465661912], [5.245676112313798, 43.896145277570234], [5.261967732640424, 43.89034408384478], [5.275088833915193, 43.87659386529874], [5.286260800302394, 43.87057145176425], [5.290752958537738, 43.86094308281255], [5.2675660142183585, 43.85389206722763], [5.264702225621611, 43.8447326852022], [5.253449608705458, 43.83980718169093], [5.244909580983658, 43.839614189200724]]]}";4765;051;12;1;84;93
84067;84870;LORIOL-DU-COMTAT;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;53.0;1120.0;2.3;44.0753500101,5.00514799731;"{""type"": ""Polygon"", ""coordinates"": [[[5.015202828358567, 44.05967605440601], [4.999256329849352, 44.0570964430684], [4.991485255000679, 44.068708025692175], [4.978923547897933, 44.06511847417081], [4.9773876142551465, 44.07194354861644], [4.984193357366197, 44.076601096574706], [4.987030633027436, 44.090261493450306], [4.993565449595645, 44.09530161077374], [4.994786805933521, 44.09201119608506], [5.022196560858822, 44.086799871767276], [5.033895279338863, 44.07616642802979], [5.029581289756734, 44.07706576528099], [5.031253876155453, 44.07074147426463], [5.015202828358567, 44.05967605440601]]]}";31446;067;09;3;84;93
84116;84110;SAINT-ROMAIN-EN-VIENNOIS;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;312.0;910.0;0.9;44.2618277208,5.10165030898;"{""type"": ""Polygon"", ""coordinates"": [[[5.114258260894044, 44.24418813557503], [5.095908425813479, 44.24827664706093], [5.091274688397154, 44.24932843448518], [5.081735847612856, 44.2727317231193], [5.074060350091083, 44.27702787661618], [5.097321205501911, 44.27904456043925], [5.112992861558853, 44.27075737868488], [5.118952031130551, 44.26153913332529], [5.124235107615953, 44.25338716070621], [5.118580975406392, 44.24556353060518], [5.114258260894044, 44.24418813557503]]]}";23472;116;21;3;84;93
84147;84530;VILLELAURE;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;203.0;1805.0;3.2;43.7075157136,5.43085449725;"{""type"": ""Polygon"", ""coordinates"": [[[5.445293164134276, 43.68009529341601], [5.412713916557895, 43.69291304282396], [5.388125771901303, 43.70218784829966], [5.396008045058632, 43.71026078235034], [5.421663602894716, 43.71737205966081], [5.42789353400329, 43.73286185609419], [5.437155717920466, 43.73257386796193], [5.444301059482044, 43.72836243403994], [5.4535013087890345, 43.72925379047075], [5.465187536449102, 43.71463936392621], [5.453863097531413, 43.70960173010633], [5.445293164134276, 43.68009529341601]]]}";27924;147;08;1;84;93
84050;84220;GORDES;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;Chef-lieu canton;312.0;4896.0;2.1;43.909019241,5.19801978618;"{""type"": ""Polygon"", ""coordinates"": [[[5.188330829080952, 43.86009259320587], [5.177350594864584, 43.86221182335228], [5.166557756064988, 43.86437122727014], [5.16400942017072, 43.89891999439413], [5.166912481239964, 43.92291797029776], [5.165536032020101, 43.93325360989259], [5.159298212969493, 43.94223599164124], [5.159728106817263, 43.949970069412416], [5.16402655160406, 43.951262488943875], [5.172768206892717, 43.95403302166921], [5.195953786443574, 43.95028340908543], [5.200274814021546, 43.95116882455384], [5.214844610985402, 43.93901730926572], [5.229962334682432, 43.933073791016795], [5.238479979885633, 43.925039825405555], [5.248952077364422, 43.90282110695535], [5.245676112313798, 43.896145277570234], [5.234425660951369, 43.8854465661912], [5.220205482215456, 43.88468341273579], [5.2099673268084015, 43.876482574712256], [5.19882505949809, 43.87122497865864], [5.188330829080952, 43.86009259320587]]]}";2390;050;12;1;84;93
84123;84390;SAULT;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;Chef-lieu canton;899.0;11203.0;1.4;44.0729876027,5.39889956617;"{""type"": ""Polygon"", ""coordinates"": [[[5.359340124166489, 43.9956420102929], [5.349753152042586, 44.00603185130967], [5.358048410293815, 44.01446111454857], [5.375083264988477, 44.04718276172243], [5.381788374551093, 44.05228652781288], [5.390241538784807, 44.068661234391946], [5.388783784330288, 44.07201566822526], [5.36019775636374, 44.090734332716075], [5.322489404610693, 44.0970690470004], [5.303230215699388, 44.09508957600655], [5.311571432758232, 44.102351384924916], [5.31660293394299, 44.11758848483445], [5.3151963973718495, 44.131548019033005], [5.3248397198208774, 44.13898870002698], [5.326395669460786, 44.159594131835455], [5.346602126014559, 44.135796597635824], [5.446356781047579, 44.10999583396666], [5.4732912152680875, 44.07984634309735], [5.475295772531152, 44.0699318852172], [5.470467214625112, 44.05306722419361], [5.459668332128382, 44.03777765700528], [5.463572385334323, 44.02819012668013], [5.449841295810701, 44.025509001810946], [5.439404988843457, 44.014063618618714], [5.42057103401573, 44.01303235166388], [5.368865552546774, 43.99615638623468], [5.359340124166489, 43.9956420102929]]]}";3165;123;20;3;84;93
84130;84190;SUZETTE;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;416.0;680.0;0.1;44.1717196495,5.06194089513;"{""type"": ""Polygon"", ""coordinates"": [[[5.074571693161722, 44.158407555325226], [5.065625687712203, 44.159341754404394], [5.054363959078636, 44.168881208098234], [5.041186202258662, 44.1614110445331], [5.033420248997291, 44.16458956198435], [5.040650896660001, 44.1733239520125], [5.072086691755524, 44.18767206760268], [5.073865977708629, 44.187737492448456], [5.08176183194982, 44.16724812371999], [5.074571693161722, 44.158407555325226]]]}";26917;130;04;3;84;93
84131;84300;TAILLADES;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;Commune simple;191.0;689.0;2.0;43.8315474513,5.09480690548;"{""type"": ""Polygon"", ""coordinates"": [[[5.123305323207004, 43.81514165832088], [5.111323708314131, 43.820604599731254], [5.092333920354374, 43.821843872381926], [5.07194945035962, 43.82956082088882], [5.077896242480297, 43.84468830992445], [5.086456043376135, 43.846793471477234], [5.102734736193272, 43.838918986100936], [5.118570167622069, 43.825244201278345], [5.123305323207004, 43.81514165832088]]]}";18072;131;11;1;84;93
84003;84400;APT;VAUCLUSE;PROVENCE-ALPES-COTE D'AZUR;Sous-préfecture;311.0;4509.0;11.4;43.879393265,5.38921757843;"{""type"": ""Polygon"", ""coordinates"": [[[5.357751992468396, 43.84180659087691], [5.34336554002748, 43.86316585930544], [5.334939554531767, 43.8649490643173], [5.31778670843673, 43.860219061779], [5.3106762663554, 43.864385240078455], [5.318923499441245, 43.86768545516772], [5.351486596536772, 43.88844328875675], [5.370052341443802, 43.88974337368691], [5.375851465753962, 43.90314946516053], [5.374108310735937, 43.906446642876894], [5.37956345601699, 43.91154092402999], [5.392794344667661, 43.91224218187866], [5.3965704697791494, 43.905775834113925], [5.409844524130773, 43.90221535088696], [5.437775880388018, 43.92089022895643], [5.455168806867574, 43.904761948711545], [5.454946358075112, 43.90132751929304], [5.452474497534537, 43.89567472131366], [5.448962092802739, 43.897968484897426], [5.444713803708934, 43.89646105111468], [5.438435368255973, 43.88735474957377], [5.423170893616267, 43.87939345034142], [5.413053347217742, 43.86795817547348], [5.409632790426163, 43.85118849979535], [5.4041761207692165, 43.845690862745265], [5.385204766334558, 43.84418970706268], [5.372074042657951, 43.847915273061986], [5.359219195160633, 43.845106005465794], [5.357751992468396, 43.84180659087691]]]}";9623;003;01;1;84;93
