Code INSEE;Code Postal;Commune;Département;Région;Statut;Altitude Moyenne;Superficie;Population;geo_point_2d;geo_shape;ID Geofla;Code Commune;Code Canton;Code Arrondissement;Code Département;Code Région
06086;06380;MOULINET;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;1299.0;4099.0;0.2;43.9536991394,7.41400405447;"{""type"": ""Polygon"", ""coordinates"": [[[7.450393146869403, 43.934040078311426], [7.442590628647219, 43.930112420543686], [7.433125615884374, 43.929649977865466], [7.4137760651958065, 43.91991531488304], [7.405011434427033, 43.90444180657169], [7.399274756907297, 43.909585585699055], [7.389853737177141, 43.920979394260144], [7.389267232063025, 43.931016918938376], [7.3698088062422205, 43.939612260647586], [7.369200764083474, 43.94600006162261], [7.376187333170204, 43.954292065574506], [7.380004805783055, 43.96710952535544], [7.391219021124424, 43.97335638112049], [7.392317953080405, 43.98016262983506], [7.401010920998344, 43.98830377556847], [7.411770447825843, 43.99472041088167], [7.425404365969939, 43.997116655818665], [7.433023579961609, 43.992814572147005], [7.456336747452811, 43.95055452524428], [7.455710239296833, 43.93998868065039], [7.450393146869403, 43.934040078311426]]]}";2004;086;26;2;06;93
06151;06450;UTELLE;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;846.0;6789.0;0.7000000000000001;43.9273181411,7.23864462941;"{""type"": ""Polygon"", ""coordinates"": [[[7.196868804939661, 43.86014222042854], [7.196746422936538, 43.8699969539186], [7.189208865854783, 43.87829837947291], [7.187972532298093, 43.89421595447275], [7.194494233817034, 43.905455807554155], [7.18484428026304, 43.91171123406942], [7.189363220683721, 43.9194324788941], [7.187753578470046, 43.92484748421096], [7.214591779920169, 43.93250236686931], [7.223527831844338, 43.94808204535357], [7.238522716294094, 43.95647758246901], [7.229681004530458, 43.99788233875797], [7.225105910629244, 44.004034815324545], [7.233910131013838, 44.01614093089264], [7.241808965220759, 44.01839440178476], [7.250042240408192, 44.01692094883842], [7.244862044085529, 44.00372893402823], [7.258374635404599, 43.9893953601047], [7.260512644151548, 43.97191706963651], [7.267667648032038, 43.95514418885224], [7.279059298859385, 43.94385590310895], [7.293027027614051, 43.941495965374735], [7.293056806363492, 43.9352668782062], [7.306826845761729, 43.91843810660389], [7.297240424320783, 43.91945592392349], [7.281803095954544, 43.90648956963247], [7.253979822642456, 43.90147643462589], [7.252164769362482, 43.891173889843515], [7.244285712274394, 43.88242335314212], [7.21940805107173, 43.87339416091644], [7.210712875978878, 43.86158205211813], [7.196868804939661, 43.86014222042854]]]}";24604;151;27;2;06;93
06025;06510;LE BROC;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;506.0;1871.0;1.3;43.8147822086,7.15907633922;"{""type"": ""Polygon"", ""coordinates"": [[[7.143613700519823, 43.78141038372732], [7.132989614907522, 43.7908342589156], [7.1296673749407, 43.80321542654543], [7.132564109640175, 43.80559265346003], [7.156180505074535, 43.81637286166228], [7.142505141351216, 43.824976858680245], [7.1413117359937495, 43.84147704400796], [7.147032466671361, 43.84687369718188], [7.165268476773189, 43.842357469148126], [7.1849727617967964, 43.82240785263449], [7.186779151479255, 43.8129213453402], [7.194611230488238, 43.80518550425194], [7.160311705334194, 43.79654337415272], [7.143613700519823, 43.78141038372732]]]}";8411;025;50;1;06;93
06061;06510;LES FERRES;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;691.0;1377.0;0.1;43.8424232733,7.09342755196;"{""type"": ""Polygon"", ""coordinates"": [[[7.088670685061622, 43.82267579198276], [7.064933133611402, 43.825600365554166], [7.072083871274494, 43.85519594352607], [7.08105622109119, 43.85476133167494], [7.096616605362152, 43.86144984523112], [7.101124544198136, 43.86074871355069], [7.105113686053663, 43.86201337590239], [7.117714459419473, 43.85368029548997], [7.125392960457916, 43.85412894074686], [7.128616292714419, 43.84859105163202], [7.100774008978456, 43.82743839787947], [7.088670685061622, 43.82267579198276]]]}";14720;061;08;1;06;93
06145;06830;TOURETTE-DU-CHATEAU;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;803.0;962.0;0.1;43.8782752079,7.13734511498;"{""type"": ""Polygon"", ""coordinates"": [[[7.126453917661297, 43.859675884880915], [7.117244088381998, 43.86079903844982], [7.120006613188422, 43.88061006503122], [7.141523896913935, 43.902766021264156], [7.157397708461694, 43.8970526007908], [7.149553731821564, 43.89321481476589], [7.149288367524179, 43.87603051714498], [7.159633138148549, 43.86481337158572], [7.159398162026217, 43.86261447335755], [7.133363413192708, 43.86359550441187], [7.126453917661297, 43.859675884880915]]]}";7594;145;20;2;06;93
06126;06670;SAINT-MARTIN-DU-VAR;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;184.0;487.0;2.5;43.8166172421,7.19929220425;"{""type"": ""Polygon"", ""coordinates"": [[[7.200826617721113, 43.80002565304622], [7.194611230488238, 43.80518550425194], [7.186779151479255, 43.8129213453402], [7.1849727617967964, 43.82240785263449], [7.191079196888962, 43.833536860292185], [7.1948638345673, 43.824217333940986], [7.207772884844463, 43.82710800890055], [7.217184763484141, 43.815830874196905], [7.204132711922547, 43.806404474362054], [7.200826617721113, 43.80002565304622]]]}";21387;126;12;2;06;93
06111;06420;ROURE;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;1477.0;3961.0;0.2;44.1189138677,7.06680296507;"{""type"": ""Polygon"", ""coordinates"": [[[7.083341611260868, 44.07075063629902], [7.074331780485328, 44.06939217867106], [7.066215033566207, 44.07212740383486], [7.06520026041134, 44.08958580069345], [7.029407979524642, 44.122496883808196], [7.026185970029849, 44.129113207903146], [7.030287527662451, 44.13895702300008], [7.017788324196036, 44.14412955443038], [7.013621492155925, 44.15778269686972], [7.067228219377197, 44.14643310377561], [7.093528946660326, 44.15377238556923], [7.096575415933046, 44.14741267788321], [7.100718820887053, 44.13389176051072], [7.091599244323724, 44.11846967835608], [7.105982559386347, 44.092786131430394], [7.083341611260868, 44.07075063629902]]]}";7194;111;24;2;06;93
06001;06910;AIGLUN;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;840.0;1543.0;0.1;43.8524188,6.934942333;"{""type"": ""Polygon"", ""coordinates"": [[[6.959730873619634, 43.83461863267166], [6.931469881378969, 43.83055994803002], [6.912353877544196, 43.83167131283852], [6.9172694453242745, 43.850533176328604], [6.907444494804121, 43.86524797508949], [6.921432044980951, 43.86690835355906], [6.936312602014223, 43.879878876304566], [6.947162249765075, 43.87446794240784], [6.952105586030299, 43.865269418608555], [6.960845315910634, 43.86594348284884], [6.951995684892961, 43.85073056261545], [6.959730873619634, 43.83461863267166]]]}";14186;001;21;1;06;93
06095;06530;PEYMEINADE;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;204.0;993.0;7.9;43.6305294544,6.88166520884;"{""type"": ""Polygon"", ""coordinates"": [[[6.882988155510731, 43.60643624940116], [6.860404051509451, 43.63687062688672], [6.861227432289702, 43.645408599360806], [6.868991762127131, 43.646303526068536], [6.886002557955544, 43.651092745381895], [6.893565037143019, 43.64717342351416], [6.895093947026028, 43.6273262346974], [6.902491849998567, 43.623412122619015], [6.894469896918708, 43.61102482728281], [6.882988155510731, 43.60643624940116]]]}";19091;095;25;1;06;93
06119;06660;SAINT-DALMAS-LE-SELVAGE;ALPES-MARITIMES;PROVENCE-ALPES-COTE D'AZUR;Commune simple;2207.0;8100.0;0.1;44.2894656829,6.84084539624;"{""type"": ""Polygon"", ""coordinates"": [[[6.822897541363442, 44.21541648063818], [6.81425890935931, 44.21794300294256], [6.809529212910439, 44.22382961807158], [6.805437186902539, 44.233631924317216], [6.807353989906142, 44.240342109274394], [6.7980627179009225, 44.247602893571326], [6.800352621956333, 44.25745437667097], [6.790338793289619, 44.272345219998144], [6.786443604332881, 44.28876357640473], [6.796040747630447, 44.30018362167937], [6.7968338553206955, 44.31670186047537], [6.804541526639529, 44.32082408083234], [6.809935138350967, 44.33028000909564], [6.82340685964664, 44.333813591402205], [6.840886578781043, 44.34568608614103], [6.854558618452177, 44.34377467715666], [6.862950128005708, 44.346571383354195], [6.874535788331526, 44.34005333950039], [6.883054913481975, 44.33133520132699], [6.884506539188209, 44.324308345200045], [6.900469257761544, 44.3112698362188], [6.900746825518847, 44.2795726987286], [6.8704232681215744, 44.26794757162129], [6.861361634656368, 44.2597503169239], [6.848472025279867, 44.25459753194174], [6.8433500417596385, 44.24858586934574], [6.841796428792532, 44.2380514511807], [6.835474866310323, 44.23280247131076], [6.834045383627889, 44.22240793991644], [6.822897541363442, 44.21541648063818]]]}";11044;119;22;2;06;93
